fee_id,delivery_id,pref,fee
1,1,1,1000
2,1,2,1000
3,1,3,1000
4,1,4,1000
5,1,5,1000
6,1,6,1000
7,1,7,1000
8,1,8,1000
9,1,9,1000
10,1,10,1000
11,1,11,1000
12,1,12,1000
13,1,13,1000
14,1,14,1000
15,1,15,1000
16,1,16,1000
17,1,17,1000
18,1,18,1000
19,1,19,1000
20,1,20,1000
21,1,21,1000
22,1,22,1000
23,1,23,1000
24,1,24,1000
25,1,25,1000
26,1,26,1000
27,1,27,1000
28,1,28,1000
29,1,29,1000
30,1,30,1000
31,1,31,1000
32,1,32,1000
33,1,33,1000
34,1,34,1000
35,1,35,1000
36,1,36,1000
37,1,37,1000
38,1,38,1000
39,1,39,1000
40,1,40,1000
41,1,41,1000
42,1,42,1000
43,1,43,1000
44,1,44,1000
45,1,45,1000
46,1,46,1000
47,1,47,1000
48,2,1,0
49,2,2,0
50,2,3,0
51,2,4,0
52,2,5,0
53,2,6,0
54,2,7,0
55,2,8,0
56,2,9,0
57,2,10,0
58,2,11,0
59,2,12,0
60,2,13,0
61,2,14,0
62,2,15,0
63,2,16,0
64,2,17,0
65,2,18,0
66,2,19,0
67,2,20,0
68,2,21,0
69,2,22,0
70,2,23,0
71,2,24,0
72,2,25,0
73,2,26,0
74,2,27,0
75,2,28,0
76,2,29,0
77,2,30,0
78,2,31,0
79,2,32,0
80,2,33,0
81,2,34,0
82,2,35,0
83,2,36,0
84,2,37,0
85,2,38,0
86,2,39,0
87,2,40,0
88,2,41,0
89,2,42,0
90,2,43,0
91,2,44,0
92,2,45,0
93,2,46,0
94,2,47,0
